language,id,text,documents.id,documents.score
en,98,continueous cramps for two weeks after sex what does this mean?,98,0.0895608664
en,99,Why have i been getting stomach cramps for the past three nights?,99,0.0544220805
en,100,Is it normal during pregnancy to get cramps when u orgasm,100,0.0700107217
en,101,Can light periods be painful?,101,0.0446763039
en,102,"I have really bad cramps, throwing up, dizzy, fainted, and sick. What do i do?",102,0.0013199449
en,103,Why does Midol contain caffeine when caffeine makes menstrual cramping worse?,103,0.0679059029
en,104,Is it normal for a girl to get cramps after sex?,104,0.2264387608
en,105,How do I make menstrul cramps go away,105,0.0549447238
en,106,ok what ever. so cha cha soo i have really bad cramps.what should i do?,106,0.1433214843
en,107,Does alcohol help with menstrual cramps?,107,0.0455165207
en,108,Were are the cramps for most woman?,108,0.0356507599
en,109,What to do for cramps during your period?,109,0.0809503198
en,110,What helps menstral cramping?,110,0.8146045208
en,111,What are the risk factors that can cause lag cramps?,111,0.0849479139
en,112,How can u get rid of really bad cramps,112,0.1408414543
en,113,What causes cramps when girls have there periods,113,0.1892745793
en,114,Syptoms of bloating stomach cramps back pain is this gastic motility,114,0.0319400728
en,115,Sharp cramping and light period,115,0.5
en,116,what is muscle cramps are possible effect of,116,0.1041214764
en,117,Is cramping in the stomach a sign of and std,117,0.0926976502
en,118,Wht if a girl have cramppppssss after her period culd she b pregnent <Nanner bbe(:>,118,0.5
en,119,What are some home remedies to relieve menstrual cramps ?,119,0.1134247482
en,120,Whats the best medicine to take for menstrual cramps?,120,0.1352750659
en,121,Is back cramps a sign of pregnancy?,121,0.182649821
en,122,how to stop cramps with out medicine,122,0.0548419356
en,123,My stomach is crampy and burning *Lynn*,123,0.0063470006
en,124,Does having sex during menstration help dull painful cramps?,124,0.0484522879
en,125,Is a heating pad good for menstrual cramps? Shellsy ;-),125,0.9987372756
en,126,Cramping after 3 days of having a miscarrage is that normal,126,0.1018581092
en,127,What kind of cramps can you get in your stomach?,127,0.1224961281
en,128,Do u cramp when you are 6 months pregnant?,128,0.2005934715
en,129,Why would you have menstral type cramps if your far into a birthcontrol where you have no menstral cycle?,129,0.0452887118
en,130,Why are some women's menstrual cramps worse than others?,130,0.2095961273
en,131,Is your period painful or bloddy  <Girly girl here >,131,0.1786652803
en,132,Stress Cramps.,132,0.0257664323
en,133,Why does menstral cramps hurt so bad Rebel Child,133,0.0148972869
en,134,why do I have stomach cramps when I orgasm?,134,0.0031316578
en,135,How do you stop ur period stomach cramps. (The kind that u feel lik ur ab to cry and u have to be in a ball),135,0.0275200009
en,136,"why do you get muscule cramps? Allen,<3",136,0.0139061511
en,137,Can back pain be related to menstral cycles?,137,0.1193927824
en,138,I have cramps but im a guy!,138,0.030136317
en,139,is it bad if u have ass cramps from using tampons,139,0.0332409143
en,140,Can taking Yaz cause cramps and diareah?,140,0.0764956176
en,141,How to sooth menstrual cramps?,141,0.141694665
en,142,How could i get rid of cramps?,142,0.0829798281
en,143,How can you heal cramps,143,0.1597652733
en,144,Why do you get cramps when you are pregnant,144,0.0186573863
en,145,"What could cause vaginal bleeding, stomach cramps and back pain between my periods?",145,0.070422262
en,146,What medicine is good for joint aches and muscle cramps???,146,0.0472712219
en,147,"After having sex if u get pregnat, how long does it take till you start having cramps and feeling sick?",147,0.0171190798
en,148,Is it normal for you to get cramps non-stop before your period?,148,0.2327055335
en,149,If a female's side is tightening and cramping up for a few minutes could it possibly be a sign of early pregnancy?,149,0.1908147931
en,150,Im on my period and i have a heavy flow. And alot of cramps n back aches n headachess. It SUUUCKS. R.I.P 5-3-09):,150,0.0334604681
en,151,What are mentsrual cramps?,151,0.0006543994
en,152,are vaginal pains normal during your period?,152,0.1564238667
en,153,Why do u cramp while on your period,153,0.1275352836
en,154,"Is lower back aches/cramps,a sign of a period?",154,0.0483662188
en,155,Why do I get real bad cramps when I start my period?,155,0.0372388065
en,156,What helps ease pain of menstraul cramps?,156,0.027510792
en,157,What can cause cramping during late pregnancy?,157,0.1388688982
en,158,Do menstrual cramps indicate the beginning of your period?,158,0.1726392508
en,159,Does icecream cause belly cramps if you eat it everyday?,159,0.0612627268
en,160,can flexing your abs cause cramping,160,0.2505074739
en,161,When you have cramps and you Boobs hurt is that a sign of pregnancy,161,0.0422727466
en,162,What does it mean when your period is two days late an then you have bad cramps? (iRENE&DEXTER),162,0.0559472442
en,163,My cramps seen to be worse when i use tampons have others felt this way,163,0.0504497886
en,164,"are heart burn, cramps and irregular period signs of pregnancy? <3124 days!<3",164,0.1783802211
en,165,what are all the causes of vaginal pain and cramping?,165,0.0733412802
en,166,Why am i cramping and pregnant is that serious,166,0.1586613357
en,167,Cramps from my menstrual cycle.,167,0.0642651021
en,168,how can you prevent or help cramps?,168,0.1162661314
en,169,Does heat help with menstrual cramps?,169,0.0455165207
en,170,Why do my fingers keep cramping?,170,0.1667134762
en,171,How do you masturbate to stop cramps?,171,0.0098541677
en,172,What's the best thing ti eat when u have really bad cramps,172,0.2085450888
en,173,does having sex affect the pain of your menstraul period?,173,0.0379721522
en,174,Is a heavy period and bad cramps part of menopause < @amy@>,174,0.0390285254
en,175,What home remodies help stomach cramps?,175,0.0809573829
en,176,How do you get rid of a thumb cramp?,176,0.1032431722
en,177,Why do some women have menstral cramps and some women dont have them?,177,0.0555835962
en,178,"What are the symptoms for shaky all over, diarihea, an stomach cramps?",178,0.0145985484
en,179,Whats the best thing for cramps in your feet,179,0.2226373255
en,180,Is it normal for u to have cramps during your full period?,180,0.167560041
en,181,Do anal fissures make you have stomach cramps,181,0.0212465525
en,182,Cramps 'Can your pussy do the dog.',182,0.0725731254
en,183,a92I had some light cramping for a couple days. Everyone is different,183,0.5
en,184,do bananas hel ease cramps?,184,0.0408963859
en,185,If u get menstrual cramps 3 weeks before ur period are u pregnant ?,185,0.183868289
en,186,What if your having alot of cramps and and your on your period,186,0.1498953998
en,187,What if you have alot of cramps during your period,187,0.1672246158
en,188,does intercouse reduce menstral cramps?,188,0.0022188425
en,189,Is it good to drink milk while cramping?,189,0.9190552235
en,190,Abdominal cramps from running,190,0.0630548894
en,191,Does apple juice help the period cramps?,191,0.0706909299
en,192,If you have cramps in your side is that a sign of pregnancy,192,0.122126013
en,193,Why do i get heavier nd more painful cramps then other girls nd my period lasts for about 8days,193,0.0711824894
en,194,Can men get testicle cramps?,194,0.0476256609
en,195,What makes your fingers get cramps in them,195,0.1998853683
en,196,Wat can u take to get rof cramps?,196,0.0797003508
en,197,fuck u i didnt ask that ... what does the word cramprenda mean  TEAM HOYT,197,0.771915555
en,198,What are the symptoms of mestrual cramps?,198,0.0423679054
en,199,How early does implantation cramps begin?,199,0.1327805221
en,200,Why does my stomach have Sharp pains while having sex on my period,200,0.067951262
en,201,What prevents menstrual cramps,201,0.0707089305
en,202,when do you begin to feel implantation cramps after conception?,202,0.0582294166
en,203,"At three weeks, could I have cramps and morning sickness?",203,0.0188280642
en,204,What can female's take to ease menstrual cramps?,204,0.072706759
en,205,How do you get rid of cramps in your sides and in your back,205,0.1754182279
en,206,Im 37 wks pregnant and am having cramps and diarhea and nausea but know i dont have the flu . . . What could it be? Ginny Wooddell,206,0.0204562843
en,207,My period was two days late but i still have cramps and but its not as heavy as usual,207,0.0075753927
en,208,cramps right after sex,208,0.2072072923
en,209,Is it normal to cramp in early stage of pregnancy,209,0.2283886373
en,210,"Besides medicine, what helps period cramps?",210,0.095033139
en,211,What's the difference between cramps and a stomach ache? 7-1-11! ;),211,0.8949066401
en,212,The only thing i see is where u were cramping an upset stomic oh but that could b caused by ur nervious system from ur worrieing,212,0.0513882935
en,213,What does it mean when u are havin cramps,213,0.1690232754
en,214,What are some ways to relieve muscle cramps,214,0.0747835934
en,215,"Is it nauseaus, a slight headache, and cant sleep 4 2 days and i feel like im cumin on my period. I feel cramps cumin down is that a sign?",215,0.0205288827
en,216,Is there anything natural I can take for severe menstrual cramps?,216,0.0938956141
en,217,Why do i have cramps if my periods not til the 18th?,217,0.0033156574
en,218,What might cause period-like cramps?,218,0.0902969241
en,219,Wat does it mean when menstrual pain and heavy flow really bad,219,0.048461616
en,220,Do girl dogs get menstrual cramps?,220,0.0652305782
en,221,Why would a girl have cramps but no period? ;),221,0.9836186767
en,222,A 13 a good way to ease the pain of menstrual cramps is to take midol or pamprin (according to pkg directions only) if available. Then apply warmth such as,222,0.1429863274
en,223,What can cause your stomach to cramp?  VII,223,0.1497297287
en,224,Do you get cramps when youre pregnant DWG<3,224,0.1456521749
en,225,would a six month period with no pain in a place that usually gets plentiful rainfall be considered a weather phenomenon or a clinate phenomenon? *my ne,225,0.7819402218
en,226,Do you have cramps when your three weeks pregnant,226,0.0417187512
en,227,Can vinager prevent muscle cramps?,227,0.0309256017
en,228,Can penicillin make your stomach cramp up?,228,0.1182152927
en,229,Whats happening in your body when you get menstrual cramps?,229,0.0803711414
en,230,I didnt spot had light period for 2 unormal days and stomache crampin and test was negative *BUILD TRUST*,230,0.0964398682
en,231,Vitamin E may be helpful for alleviating menstrual cramps and decreasing blood loss during menstruation. Which one do i need to get,231,0.1677599847
en,232,Is normal for a pregnant women to have a sharp cramp in the first trimester?,232,0.2182558477
en,233,How do i get rid of fart cramps?,233,0.0881726742
en,234,At 3 weeks what would cause light brown discharge abd cramps,234,0.1370382309
en,235,What do you do for back cramps?,235,0.0475538075
en,236,What gets rid of period cramps besides midol?,236,0.127994895
en,237,Y do u get cramps in yur feet all the time in winter,237,0.0815877914
en,238,Can u faint from menstrual cramps,238,0.0848406553
en,239,"When pregnant, how soon do you get cramp? *5*_*EaToN'SGiRL*",239,0.1765205264
en,240,how do you get rid of cramps? *Riana*,240,0.1078734696
en,241,Bleeding a week after period but no pains? <3RyAnnSaMaNtHa Heil 4ever<3,241,0.2121457458
en,242,Why do u women cramp durin their period,242,0.1680336297
en,243,Why do you get back cramps when your on your period,243,0.0718472898
en,244,is it bad when ones lower back keeps cramping up? *Nick&Clari*,244,0.0312627554
en,245,How do make cramps go away if ur in xschool :)DAIWA!!<3,245,0.730160296
en,246,What can cause bad stomach cramps?,246,0.0337210894
en,247,I have cramps when I'm not on my period what could that be. ?,247,0.027777046
en,248,What are some helpful tips for cramps when menstrating?,248,0.8420301676
en,249,Can you get sick from taking a naproxen pill for period cramps?,249,0.0512583554
en,250,Whats the best and easiest way to get rid of period cramps?,250,0.2472562194
