Word,Level,Weight,Length,Start,End
becca,1,3.38981567,1,2010,2010
buy,1,3.37022246,1,2009,2009
drunk,1,3.358549777,1,2009,2009
luke,1,3.348681197,1,2012,2012
atb,1,3.335744069,2,2011,2012
order,1,3.322922522,1,2010,2010
roqk,1,3.298559515,1,2010,2010
ilyagb,1,3.298559515,1,2010,2010
cef&jvc,1,3.298559515,1,2010,2010
bland,1,3.298559515,1,2010,2010
josh&sha,1,3.298559515,1,2010,2010
thone,1,3.298559515,1,2010,2010
5-Feb,1,3.298559515,1,2010,2010
henny&appl,1,3.298559515,1,2010,2010
chant,1,3.298559515,1,2010,2010
3myy_jr,1,3.298559515,1,2010,2010
parti,1,3.294035574,1,2010,2010
mint,1,3.288927026,1,2012,2012
contol,1,3.286504399,1,2012,2012
dysmenorrhea,1,3.267574861,1,2012,2012
marieu,1,3.265653,1,2009,2009
12-Jun,1,3.265653,1,2009,2009
q1,1,3.265122111,1,2010,2010
fucc,1,3.265122111,1,2010,2010
3nick,1,3.265122111,1,2010,2010
passin,1,3.265122111,1,2010,2010
smb,1,3.265122111,1,2010,2010
ubabi,1,3.265122111,1,2010,2010
miguel,1,3.265122111,1,2010,2010
destinyleemartin,1,3.255414253,1,2012,2012
freisan,1,3.255414253,1,2012,2012
rudus,1,3.255414253,1,2012,2012
rick,1,3.255414253,1,2012,2012
4/25/2009,1,3.255414253,1,2012,2012
shabreka,1,3.255414253,1,2012,2012
undead,1,3.255414253,1,2012,2012
9/22/2013,1,3.255414253,1,2012,2012
3kierst,1,3.255414253,1,2012,2012
3raym,1,3.255414253,1,2012,2012
kan,1,3.247623497,2,2009,2010
headac,1,3.247153676,2,2011,2012
ma,1,3.233811262,1,2009,2009
bestfriend,1,3.231683999,1,2010,2010
autumn,1,3.231683999,1,2010,2010
prenanc,1,3.231567454,1,2012,2012
dey,1,3.225786202,2,2011,2012
rainbow,1,3.198245178,1,2010,2010
chica,1,3.184447384,1,2009,2009
abort,1,3.175533158,1,2009,2009
josea.alvarado,1,3.170806183,2,2011,2012
3never-end,1,3.170806183,2,2011,2012
amrs.wisecup,1,3.170806183,2,2011,2012
shaki,1,3.169411033,1,2012,2012
crunch,1,3.152599073,1,2009,2009
bre,1,3.146763807,1,2009,2009
membran,1,3.135919072,1,2012,2012
o,1,3.132017515,1,2009,2009
brooki,1,3.13136541,1,2010,2010
sort,1,3.126554947,1,2009,2009
cuddl,1,3.109141475,2,2011,2012
snail,1,3.104832998,1,2012,2012
sempr,1,3.104832998,1,2012,2012
coreymichaelpletz,1,3.104832998,1,2012,2012
ths,1,3.103241288,1,2009,2009
evri,1,3.064482807,1,2010,2010
flyy,1,3.059719576,1,2009,2009
uawsomeu,1,3.059719576,1,2009,2009
eu,1,3.059719576,1,2009,2009
princessu,1,3.059719576,1,2009,2009
kbhloveskr,1,3.059719576,1,2009,2009
gohnoria,1,3.059719576,1,2009,2009
af3,1,3.059719576,1,2009,2009
uwolf,1,3.059719576,1,2009,2009
ereslomejor,1,3.059719576,1,2009,2009
b3aut,1,3.059719576,1,2009,2009
3bride-to,1,3.059719576,1,2009,2009
jumpthenfal,1,3.059719576,1,2009,2009
lost&found,1,3.059719576,1,2009,2009
newton,1,3.059719576,1,2009,2009
claymidia,1,3.059719576,1,2009,2009
nfg,1,3.054163716,2,2011,2012
ua,1,3.036496963,2,2009,2010
california,1,3.036496963,2,2009,2010
imposs,1,3.036496963,2,2009,2010
mac,1,3.031040442,1,2010,2010
muenstral,1,3.027866015,1,2009,2009
mile,1,3.001812677,1,2009,2009
faint,1,3.001770724,1,2012,2012
irregular,1,2.998057273,1,2009,2009
steph,1,2.997597368,1,2010,2010
extend,1,2.987734229,1,2012,2012
lowerback,1,2.985332855,1,2012,2012
workin,1,2.984346432,1,2009,2009
sara,1,2.984346432,1,2009,2009
xo,1,2.983715322,2,2009,2010
rabbit,1,2.97851487,1,2009,2009
appetiet,1,2.96869549,1,2010,2010
lup'fu,1,2.96869549,1,2010,2010
mrs.mccollough,1,2.96869549,1,2010,2010
ateam,1,2.96869549,1,2010,2010
3greg,1,2.96869549,1,2010,2010
bgm,1,2.96869549,1,2010,2010
siempre,1,2.96869549,1,2010,2010
ltp,1,2.96869549,1,2010,2010
jessicarena,1,2.96869549,1,2010,2010
3shisbabi,1,2.96869549,1,2010,2010
insulin,1,2.96869549,1,2010,2010
udlow,1,2.96869549,1,2010,2010
tiana,1,2.96869549,1,2010,2010
cheer,1,2.96869549,1,2010,2010
3brad,1,2.96869549,1,2010,2010
j,1,2.959981799,1,2010,2010
uti,1,2.957476524,1,2012,2012
earlist,1,2.954250853,1,2012,2012
tonya,1,2.954250853,1,2012,2012
womb,1,2.946654737,1,2009,2009
usuali,1,2.946654737,1,2009,2009
ky,1,2.946183819,2,2009,2010
5,1,2.940827655,1,2009,2009
tinkerbel,1,2.940827655,1,2009,2009
codein,1,2.940827655,1,2009,2009
dus,1,2.940827655,1,2009,2009
immediat,1,2.940827655,1,2009,2009
repli,1,2.937519557,2,2011,2012
julia,1,2.93525647,1,2010,2010
acur,1,2.93525647,1,2010,2010
cervix,1,2.917688022,1,2012,2012
sixth,1,2.903137025,1,2009,2009
a3,1,2.901816741,1,2010,2010
unbreak,1,2.901816741,1,2010,2010
tasha,1,2.901816741,1,2010,2010
umm,1,2.901816741,1,2010,2010
jordi,1,2.901816741,1,2010,2010
emile,1,2.897309684,1,2009,2009
c0uld,1,2.897309684,1,2009,2009
rle,1,2.897309684,1,2009,2009
ulovin,1,2.897309684,1,2009,2009
bout,1,2.891434399,1,2009,2009
11/19/2010-babe,1,2.882543335,2,2011,2012
5/10/2011,1,2.882543335,2,2011,2012
3djforev,1,2.882543335,2,2011,2012
jclrh,1,2.882543335,2,2011,2012
ashbomb,1,2.882543335,2,2011,2012
dal,1,2.882543335,2,2011,2012
mrs.g,1,2.882543335,2,2011,2012
emmi,1,2.882543335,2,2011,2012
kjc,1,2.882543335,2,2011,2012
mrs.lopez,1,2.882543335,2,2011,2012
alan,1,2.882543335,2,2011,2012
abdominol,1,2.868376303,1,2010,2010
saturday,1,2.865442979,1,2009,2009
solut,1,2.85944104,1,2009,2009
implanon,1,2.857148732,2,2011,2012
jarrod,1,2.834935156,1,2010,2010
thank,1,2.830609037,1,2009,2009
excruci,1,2.824828371,1,2009,2009
option,1,2.821927137,1,2009,2009
goo,1,2.814167387,2,2011,2012
elimin,1,2.807457867,1,2009,2009
dill,1,2.803667817,1,2012,2012
diclofenac,1,2.803667817,1,2012,2012
ecstasi,1,2.803082455,2,2009,2010
daniell,1,2.79692404,1,2010,2010
ch,1,2.787844824,2,2009,2010
dysmenorhea,1,2.777372329,1,2012,2012
motiv,1,2.765899744,2,2011,2012
12/25/2009,1,2.765899744,2,2011,2012
pepto,1,2.758145013,1,2009,2009
18th,1,2.740716769,1,2009,2009
erica,1,2.734607464,1,2010,2010
smile,1,2.720432815,1,2009,2009
danc,1,2.720432815,1,2009,2009
januari,1,2.715230441,1,2012,2012
stil,1,2.714632628,1,2009,2009
goodman,1,2.712837581,1,2012,2012
lovejoey,1,2.712837581,1,2012,2012
hehasmyheart,1,2.712837581,1,2012,2012
5.15.11,1,2.712837581,1,2012,2012
3s.a.w,1,2.712837581,1,2012,2012
arick,1,2.712837581,1,2012,2012
n.f.b,1,2.712837581,1,2012,2012
shane&becca,1,2.712837581,1,2012,2012
tibby&kyki,1,2.712837581,1,2012,2012
lovingtim,1,2.712837581,1,2012,2012
3-i,1,2.712837581,1,2012,2012
b.l.u.t.o,1,2.712837581,1,2012,2012
e.n.k,1,2.712837581,1,2012,2012
naomii,1,2.712837581,1,2012,2012
matti,1,2.712837581,1,2012,2012
derrik,1,2.712837581,1,2012,2012
depess,1,2.712837581,1,2012,2012
tylers.som,1,2.712837581,1,2012,2012
sister,1,2.708827696,1,2009,2009
monday,1,2.703018021,1,2009,2009
quickest,1,2.702648936,1,2009,2009
mesntrual,1,2.701163482,1,2010,2010
chunki,1,2.697203604,1,2009,2009
em,1,2.691955367,1,2010,2010
strip,1,2.684157749,1,2012,2012
rectum,1,2.676921497,1,2009,2009
friday,1,2.665315856,1,2009,2009
aa,1,2.65997451,2,2009,2010
altern,1,2.659505921,1,2009,2009
livin,1,2.655468963,1,2012,2012
cheerlead,1,2.653691244,1,2009,2009
tk,1,2.653691244,1,2009,2009
gainin,1,2.653691244,1,2009,2009
van,1,2.653691244,1,2009,2009
abdomni,1,2.653083891,1,2012,2012
bmh,1,2.653083891,1,2012,2012
ministeri,1,2.653083891,1,2012,2012
implent,1,2.649254459,2,2011,2012
america,1,2.649254459,2,2011,2012
envi,1,2.649254459,2,2011,2012
supposs,1,2.644749391,2,2009,2010
love'n,1,2.63883326,1,2010,2010
medicineu,1,2.63883326,1,2010,2010
youmakemesmil,1,2.63883326,1,2010,2010
1babyboy,1,2.63883326,1,2010,2010
4/13/2010,1,2.63883326,1,2010,2010
uinuy,1,2.63883326,1,2010,2010
bnh&nss,1,2.63883326,1,2010,2010
tere,1,2.63883326,1,2010,2010
addicted2mik,1,2.63883326,1,2010,2010
kate&trev,1,2.63883326,1,2010,2010
godz,1,2.63883326,1,2010,2010
misunderstood,1,2.63883326,1,2010,2010
l3r,1,2.63883326,1,2010,2010
missamanda,1,2.63883326,1,2010,2010
l.i.p.,1,2.63883326,1,2010,2010
5/18/2010,1,2.63883326,1,2010,2010
th3,1,2.63883326,1,2010,2010
miquelli,1,2.63883326,1,2010,2010
dominiqu,1,2.63883326,1,2010,2010
rae,1,2.634273392,1,2010,2010
shorti,1,2.629676771,1,2010,2010
defici,1,2.627610275,1,2009,2009
known,1,2.627610275,1,2009,2009
ain't,1,2.624398889,1,2012,2012
gir,1,2.621804821,1,2009,2009
stilll,1,2.615994626,1,2009,2009
whos,1,2.615994626,1,2009,2009
b0,1,2.605392623,1,2010,2010
ff,1,2.605392623,1,2010,2010
k.lyn,1,2.605392623,1,2010,2010
exprienc,1,2.605392623,1,2010,2010
dnc,1,2.605392623,1,2010,2010
jrh,1,2.605392623,1,2010,2010
3kab,1,2.605392623,1,2010,2010
generat,1,2.605392623,1,2010,2010
step,1,2.595704934,1,2012,2012
3z,1,2.594282036,2,2011,2012
aiden,1,2.594282036,2,2011,2012
mccathran,1,2.594282036,2,2011,2012
wesley,1,2.594282036,2,2011,2012
ipowh,1,2.594282036,2,2011,2012
6.26.10,1,2.594282036,2,2011,2012
sarahleigh,1,2.594282036,2,2011,2012
ilovej.c.c,1,2.594282036,2,2011,2012
chesne,1,2.594282036,2,2011,2012
pate,1,2.594282036,2,2011,2012
aphrodit,1,2.594282036,2,2011,2012
3amad,1,2.594282036,2,2011,2012
caff,1,2.594282036,2,2011,2012
mommy.2.b,1,2.594282036,2,2011,2012
rachaelann,1,2.594282036,2,2011,2012
91010,1,2.594282036,2,2011,2012
byfwma,1,2.594282036,2,2011,2012
ovalri,1,2.594282036,2,2011,2012
tgc,1,2.594282036,2,2011,2012
7/1/2011,1,2.594282036,2,2011,2012
mommy&m,1,2.594282036,2,2011,2012
giirl,1,2.594282036,2,2011,2012
mrs.perri,1,2.594282036,2,2011,2012
amber&jeremi,1,2.594282036,2,2011,2012
me&him,1,2.594282036,2,2011,2012
love.drunk,1,2.594282036,2,2011,2012
steroid,1,2.59332765,1,2012,2012
cowboy,1,2.59332765,1,2012,2012
vicoden,1,2.59332765,1,2012,2012
neusea,1,2.59332765,1,2012,2012
crouch,1,2.59332765,1,2012,2012
juggalett,1,2.59332765,1,2012,2012
billi,1,2.587576921,2,2011,2012
allen,1,2.580858173,2,2011,2012
circl,1,2.572484137,1,2009,2009
do,1,2.572131729,1,2009,2009
3a,1,2.571951276,1,2010,2010
martin,1,2.571951276,1,2010,2010
ilovetyl,1,2.571951276,1,2010,2010
j&m,1,2.571951276,1,2010,2010
rebel,1,2.571951276,1,2010,2010
corey,1,2.567380466,1,2010,2010
extra,1,2.563767593,1,2009,2009
zach,1,2.5627729,1,2010,2010
flapper,1,2.562255246,1,2012,2012
dls,1,2.562255246,1,2012,2012
mtc,1,2.562255246,1,2012,2012
austin&savannah,1,2.562255246,1,2012,2012
ginni,1,2.562255246,1,2012,2012
3x,1,2.538509222,1,2010,2010
2gether,1,2.538509222,1,2010,2010
lord,1,2.538509222,1,2010,2010
sist,1,2.538509222,1,2010,2010
muscular,1,2.535938355,1,2012,2012
stroke,1,2.534785168,1,2009,2009
vigin,1,2.53356886,1,2012,2012
simpli,1,2.532607482,2,2011,2012
italian,1,2.519163771,2,2011,2012
3u,1,2.514473024,1,2009,2009
ea,1,2.505066458,1,2010,2010
aubri,1,2.505066458,1,2010,2010
manag,1,2.50487352,1,2012,2012
trish,1,2.502499074,1,2012,2012
stabbin,1,2.502499074,1,2012,2012
anyway,1,2.497082783,1,2009,2009
pegnant,1,2.497082783,1,2009,2009
ray,1,2.497082783,1,2009,2009
key,1,2.49127655,1,2009,2009
tee,1,2.486416297,2,2009,2010
braxton,1,2.483148129,1,2012,2012
p.s,1,2.477637319,2,2011,2012
5/27/2010,1,2.477637319,2,2011,2012
outsid,1,2.476753771,1,2009,2009
trigger,1,2.476169225,1,2012,2012
barley,1,2.476169225,1,2012,2012
cj,1,2.471622986,1,2010,2010
independ,1,2.471622986,1,2010,2010
tiffani,1,2.471622986,1,2010,2010
lovelikecrazi,1,2.471622986,1,2010,2010
hailey,1,2.471622986,1,2010,2010
constent,1,2.47092599,2,2011,2012
mylif,1,2.47092599,2,2011,2012
exam,1,2.467035761,1,2010,2010
solo,1,2.467035761,1,2010,2010
hangov,1,2.459376982,1,2009,2009
neg,1,2.45357523,1,2009,2009
live.love.luck,1,2.447768736,1,2009,2009
wizzabiff,1,2.447768736,1,2009,2009
yourthebestjt,1,2.447768736,1,2009,2009
stumhic,1,2.447768736,1,2009,2009
ashchip,1,2.447768736,1,2009,2009
vinc,1,2.447768736,1,2009,2009
philipsforev,1,2.447768736,1,2009,2009
c.j.mu,1,2.447768736,1,2009,2009
3.charli,1,2.447768736,1,2009,2009
x0bethanyy,1,2.447768736,1,2009,2009
a.k.h,1,2.447768736,1,2009,2009
l.o.v.,1,2.447768736,1,2009,2009
michealu,1,2.447768736,1,2009,2009
i&b,1,2.447768736,1,2009,2009
gsb,1,2.447768736,1,2009,2009
raindrop,1,2.447768736,1,2009,2009
cheroke,1,2.447768736,1,2009,2009
m.t.o,1,2.447768736,1,2009,2009
uandrew,1,2.447768736,1,2009,2009
ucav,1,2.447768736,1,2009,2009
nujefferi,1,2.447768736,1,2009,2009
lish,1,2.447768736,1,2009,2009
12/10/2007,1,2.447768736,1,2009,2009
23u,1,2.447768736,1,2009,2009
hicup,1,2.447768736,1,2009,2009
kayla.luvz.codi,1,2.447768736,1,2009,2009
jujube,1,2.447768736,1,2009,2009
wayss,1,2.447768736,1,2009,2009
loanni,1,2.447768736,1,2009,2009
3ili,1,2.442740352,1,2012,2012
breastfeed,1,2.442740352,1,2012,2012
amber,1,2.416397544,1,2012,2012
cous,1,2.415958812,2,2011,2012
salsa,1,2.41167202,1,2012,2012
syrup,1,2.41167202,1,2012,2012
nicki,1,2.41167202,1,2012,2012
iodin,1,2.41167202,1,2012,2012
disscharg,1,2.41167202,1,2012,2012
3alway,1,2.41167202,1,2012,2012
rio,1,2.41167202,1,2012,2012
vodka,1,2.396095939,2,2009,2010
mistaken,1,2.389743168,1,2009,2009
preggo,1,2.38297908,1,2012,2012
term,1,2.380869164,1,2009,2009
mrs,1,2.377554706,1,2009,2009
pregnenc,1,2.375109362,1,2009,2009
clean,1,2.372364812,1,2009,2009
truli,1,2.371288316,1,2010,2010
dish,1,2.36656254,1,2009,2009
jpc,1,2.36656254,1,2009,2009
bitter,1,2.36656254,1,2009,2009
kaylaa,1,2.36656254,1,2009,2009
luluhow,1,2.36656254,1,2009,2009
ashle,1,2.36656254,1,2009,2009
panda,1,2.36099091,2,2011,2012
meaan,1,2.36099091,2,2011,2012
commun,1,2.36099091,2,2011,2012
g,1,2.357801438,1,2009,2009
aftr,1,2.354277187,1,2012,2012
elbow,1,2.354277187,1,2012,2012
abdomanol,1,2.354273366,2,2011,2012
drowsi,1,2.354273366,2,2011,2012
clumpi,1,2.351913367,1,2012,2012
abdoment,1,2.351913367,1,2012,2012
dat,1,2.343938407,2,2009,2010
pmdd,1,2.343320215,2,2009,2010
fact,1,2.340450772,1,2009,2009
signifi,1,2.340450772,1,2009,2009
jo,1,2.337842008,1,2010,2010
knife,1,2.337842008,1,2010,2010
fw,1,2.334657725,1,2009,2009
cranki,1,2.334657725,1,2009,2009
jacob,1,2.333232895,1,2010,2010
enter,1,2.330639941,2,2011,2012
3o,1,2.328859934,1,2009,2009
nn,1,2.328859934,1,2009,2009
flutter,1,2.323215258,1,2012,2012
josh,1,2.320072995,1,2009,2009
cowgirl,1,2.31612063,2,2011,2012
80409,1,2.308972823,1,2010,2010
k.dawg,1,2.308972823,1,2010,2010
q2,1,2.308972823,1,2010,2010
chone,1,2.308972823,1,2010,2010
u1,1,2.308972823,1,2010,2010
mrspearsal,1,2.308972823,1,2010,2010
mrs.barrigar,1,2.308972823,1,2010,2010
3iwuvyou,1,2.308972823,1,2010,2010
stohmach,1,2.308972823,1,2010,2010
ch0ne,1,2.308972823,1,2010,2010
32110,1,2.308972823,1,2010,2010
aliyah,1,2.308972823,1,2010,2010
pastprayingfor,1,2.308972823,1,2010,2010
ilovehunt,1,2.308972823,1,2010,2010
vivi,1,2.308972823,1,2010,2010
3trevor,1,2.308972823,1,2010,2010
tymeu,1,2.308972823,1,2010,2010
miiss,1,2.308972823,1,2010,2010
playboy,1,2.308972823,1,2010,2010
mrs.yield,1,2.308972823,1,2010,2010
sinsofmyyouth,1,2.308972823,1,2010,2010
audriana,1,2.308972823,1,2010,2010
8.15.104ever,1,2.308972823,1,2010,2010
firework,1,2.308972823,1,2010,2010
landon,1,2.308972823,1,2010,2010
jackdaniel,1,2.308972823,1,2010,2010
anotherlovesong,1,2.308972823,1,2010,2010
kween,1,2.308972823,1,2010,2010
cami,1,2.308972823,1,2010,2010
cpo,1,2.308972823,1,2010,2010
3fall,1,2.308972823,1,2010,2010
mrs.heather,1,2.308972823,1,2010,2010
fpi,1,2.308972823,1,2010,2010
fuh,1,2.308972823,1,2010,2010
utakez,1,2.308972823,1,2010,2010
3jonathon,1,2.308972823,1,2010,2010
m3i,1,2.308972823,1,2010,2010
lif,1,2.308972823,1,2010,2010
robertt,1,2.308972823,1,2010,2010
snitchin,1,2.308972823,1,2010,2010
3/9/2010,1,2.308972823,1,2010,2010
alet,1,2.308972823,1,2010,2010
branten,1,2.308972823,1,2010,2010
newel,1,2.308972823,1,2010,2010
seat,1,2.308972823,1,2010,2010
3xs,1,2.308972823,1,2010,2010
love.lockdwn,1,2.308972823,1,2010,2010
c0n-ceit,1,2.308972823,1,2010,2010
luckynow,1,2.308972823,1,2010,2010
scare,1,2.308519602,1,2009,2009
diareha,1,2.308519602,1,2009,2009
fluf,1,2.306022284,2,2011,2012
donnie&jessica,1,2.306022284,2,2011,2012
amour,1,2.306022284,2,2011,2012
iwillalwaysloveyou,1,2.306022284,2,2011,2012
9u3ss,1,2.306022284,2,2011,2012
selfright,1,2.306022284,2,2011,2012
darrian,1,2.306022284,2,2011,2012
weezi,1,2.306022284,2,2011,2012
hounchel,1,2.306022284,2,2011,2012
royc,1,2.306022284,2,2011,2012
nere,1,2.306022284,2,2011,2012
h@n,1,2.306022284,2,2011,2012
hii,1,2.306022284,2,2011,2012
afta,1,2.306022284,2,2011,2012
mrl,1,2.306022284,2,2011,2012
hakb,1,2.306022284,2,2011,2012
lovelikewo,1,2.306022284,2,2011,2012
dreamm,1,2.306022284,2,2011,2012
stiffen,1,2.306022284,2,2011,2012
luvx,1,2.306022284,2,2011,2012
m.sk.s,1,2.306022284,2,2011,2012
"06,12,10",1,2.306022284,2,2011,2012
h,1,2.305372944,1,2009,2009
runni,1,2.30147008,1,2012,2012
kitti,1,2.299308449,2,2011,2012
addict,1,2.299308449,2,2011,2012
progesteron,1,2.292152164,1,2012,2012
marajuana,1,2.292152164,1,2012,2012
st0mach,1,2.290544487,2,2009,2010
flight,1,2.285355862,1,2009,2009
karebear,1,2.285355862,1,2009,2009
impact,1,2.285355862,1,2009,2009
hah,1,2.285355862,1,2009,2009
krs,1,2.285355862,1,2009,2009
nasueat,1,2.285355862,1,2009,2009
drowzi,1,2.285355862,1,2009,2009
urg,1,2.276571297,1,2009,2009
dy,1,2.275530569,1,2010,2010
welcom,1,2.275530569,1,2010,2010
snowflak,1,2.275530569,1,2010,2010
c.b,1,2.275530569,1,2010,2010
ilybabi,1,2.275530569,1,2010,2010
karin,1,2.275530569,1,2010,2010
wrld,1,2.275530569,1,2010,2010
uuchristinauu,1,2.275530569,1,2010,2010
ghetto,1,2.275530569,1,2010,2010
el,1,2.270947267,1,2010,2010
perioud,1,2.263448886,1,2012,2012
utera,1,2.261087903,1,2012,2012
effac,1,2.261087903,1,2012,2012
slimmi,1,2.261087903,1,2012,2012
keith,1,2.261087903,1,2012,2012
clr,1,2.261087903,1,2012,2012
lena,1,2.261087903,1,2012,2012
blesson,1,2.261087903,1,2012,2012
calori,1,2.253444475,1,2009,2009
inflammatori,1,2.253444475,1,2009,2009
patient,1,2.247650906,1,2009,2009
tier,1,2.247650906,1,2009,2009
sack,1,2.247650906,1,2009,2009
bugg,1,2.242087606,1,2010,2010
hollywood,1,2.242087606,1,2010,2010
g00d,1,2.242087606,1,2010,2010
